electrode,x,y,z,w,h,d,default,all,bank0,double_length,bank1,bank2,bank3,bank4
45.0,2.0,530.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
46.0,-30.0,545.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
47.0,2.0,545.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
48.0,-30.0,560.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
49.0,2.0,560.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
50.0,-30.0,575.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
51.0,2.0,575.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
52.0,-30.0,590.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
53.0,2.0,590.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
54.0,-30.0,605.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
55.0,2.0,605.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
56.0,-30.0,620.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
57.0,2.0,620.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
58.0,-30.0,635.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
59.0,2.0,635.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
60.0,-30.0,650.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
61.0,2.0,650.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
62.0,-30.0,665.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
63.0,2.0,665.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
64.0,-30.0,680.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
65.0,2.0,680.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
66.0,-30.0,695.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
67.0,2.0,695.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
68.0,-30.0,710.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
69.0,2.0,710.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
70.0,-30.0,725.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
71.0,2.0,725.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
72.0,-30.0,740.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
73.0,2.0,740.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
74.0,-30.0,755.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
75.0,2.0,755.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
76.0,-30.0,770.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
77.0,2.0,770.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
78.0,-30.0,785.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
79.0,2.0,785.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
80.0,-30.0,800.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
81.0,2.0,800.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
82.0,-30.0,815.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
83.0,2.0,815.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
84.0,-30.0,830.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
85.0,2.0,830.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
