electrode,x,y,z,w,h,d,default,all,bank0,double_length
71.0,2.0,900.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
72.0,-14.0,920.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
73.0,18.0,920.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
74.0,-30.0,940.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
75.0,2.0,940.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
76.0,-14.0,960.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
77.0,18.0,960.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
78.0,-30.0,980.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
79.0,2.0,980.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
80.0,-14.0,1000.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
81.0,18.0,1000.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
82.0,-30.0,1020.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
83.0,2.0,1020.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
84.0,-14.0,1040.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
85.0,18.0,1040.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
86.0,-30.0,1060.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
87.0,2.0,1060.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
88.0,-14.0,1080.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
89.0,18.0,1080.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
90.0,-30.0,1100.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
91.0,2.0,1100.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
92.0,-14.0,1120.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
93.0,18.0,1120.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
94.0,-30.0,1140.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
95.0,2.0,1140.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
96.0,-14.0,1160.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
97.0,18.0,1160.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
98.0,-30.0,1180.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
99.0,2.0,1180.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
100.0,-14.0,1200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
101.0,18.0,1200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
102.0,-30.0,1220.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
103.0,2.0,1220.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
104.0,-14.0,1240.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
105.0,18.0,1240.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
106.0,-30.0,1260.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
107.0,2.0,1260.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
108.0,-14.0,1280.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
109.0,18.0,1280.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
110.0,-30.0,1300.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
111.0,2.0,1300.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
112.0,-14.0,1320.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
