electrode,x,y,z,w,h,d,default,all,bank0,double_length
122,-30,1115,0,12,12,24,1,1,1,0
123,2,1115,0,12,12,24,1,1,1,1
124,-30,1130,0,12,12,24,1,1,1,0
125,2,1130,0,12,12,24,1,1,1,1
126,-30,1145,0,12,12,24,1,1,1,0
127,2,1145,0,12,12,24,1,1,1,1
128,-30,1160,0,12,12,24,1,1,1,0
129,2,1160,0,12,12,24,1,1,1,1
130,-30,1175,0,12,12,24,1,1,1,0
131,2,1175,0,12,12,24,1,1,1,1
132,-30,1190,0,12,12,24,1,1,1,0
133,2,1190,0,12,12,24,1,1,1,1
134,-30,1205,0,12,12,24,1,1,1,0
135,2,1205,0,12,12,24,1,1,1,1
136,-30,1220,0,12,12,24,1,1,1,0
137,2,1220,0,12,12,24,1,1,1,1
138,-30,1235,0,12,12,24,1,1,1,0
139,2,1235,0,12,12,24,1,1,1,1
140,-30,1250,0,12,12,24,1,1,1,0
141,2,1250,0,12,12,24,1,1,1,1
142,-30,1265,0,12,12,24,1,1,1,0
143,2,1265,0,12,12,24,1,1,1,1
144,-30,1280,0,12,12,24,1,1,1,0
145,2,1280,0,12,12,24,1,1,1,1
146,-30,1295,0,12,12,24,1,1,1,0
147,2,1295,0,12,12,24,1,1,1,1
148,-30,1310,0,12,12,24,1,1,1,0
149,2,1310,0,12,12,24,1,1,1,1
150,-30,1325,0,12,12,24,1,1,1,0
151,2,1325,0,12,12,24,1,1,1,1
152,-30,1340,0,12,12,24,1,1,1,0
153,2,1340,0,12,12,24,1,1,1,1
154,-30,1355,0,12,12,24,1,1,1,0
155,2,1355,0,12,12,24,1,1,1,1
156,-30,1370,0,12,12,24,1,1,1,0
157,2,1370,0,12,12,24,1,1,1,1
158,-30,1385,0,12,12,24,1,1,1,0
159,2,1385,0,12,12,24,1,1,1,1
160,-30,1400,0,12,12,24,1,1,1,0
161,2,1400,0,12,12,24,1,1,1,1
162,-30,1415,0,12,12,24,1,1,1,0
163,2,1415,0,12,12,24,1,1,1,1
164,-30,1430,0,12,12,24,1,1,1,0
165,2,1430,0,12,12,24,1,1,1,1
166,-30,1445,0,12,12,24,1,1,1,0
167,2,1445,0,12,12,24,1,1,1,1
168,-30,1460,0,12,12,24,1,1,1,0
169,2,1460,0,12,12,24,1,1,1,1
170,-30,1475,0,12,12,24,1,1,1,0
171,2,1475,0,12,12,24,1,1,1,1
172,-30,1490,0,12,12,24,1,1,1,0
173,2,1490,0,12,12,24,1,1,1,1
174,-30,1505,0,12,12,24,1,1,1,0
175,2,1505,0,12,12,24,1,1,1,1
176,-30,1520,0,12,12,24,1,1,1,0
177,2,1520,0,12,12,24,1,1,1,1
178,-30,1535,0,12,12,24,1,1,1,0
179,2,1535,0,12,12,24,1,1,1,1
180,-30,1550,0,12,12,24,1,1,1,0
181,2,1550,0,12,12,24,1,1,1,1
182,-30,1565,0,12,12,24,1,1,1,0
183,2,1565,0,12,12,24,1,1,1,1
184,-30,1580,0,12,12,24,1,1,1,0
185,2,1580,0,12,12,24,1,1,1,1
186,-30,1595,0,12,12,24,1,1,1,0
187,2,1595,0,12,12,24,1,1,1,1
188,-30,1610,0,12,12,24,1,1,1,0
189,2,1610,0,12,12,24,1,1,1,1
190,-30,1625,0,12,12,24,1,1,1,0
191,2,1625,0,12,12,24,1,1,1,1
