id,ap,ml,dv
271,9.469502,3.803995,3.74054
874,9.430187,3.562068,3.842934
381,8.406775,4.171496,5.115158
749,8.351975,4.867937,5.153221
607344830,4.364503,2.731055,2.68948
246,8.998037,4.509501,4.581474
128,8.999092,4.596585,3.904044
294,9.206299,4.674285,2.419142
795,8.975238,5.159648,3.249701
215,8.025689,4.413772,3.317471
531,8.061474,5.297176,2.383263
628,8.088089,4.60163,2.455033
634,7.960381,5.348436,3.01973
706,7.924121,4.921161,2.594591
1061,8.119244,4.653234,2.539141
549009203,4.043157,2.625396,1.926349
616,10.11463,4.243323,3.395175
214,8.705446,4.938565,4.364527
35,9.10356,5.510088,3.791424
549009211,4.265914,2.817013,2.193056
975,8.638634,5.669327,4.062932
115,9.590336,5.428189,3.782335
606826663,4.857282,2.684465,1.982969
757,9.93375,5.363575,4.457886
231,9.539301,5.429395,4.640404
66,8.250278,3.305057,4.417762
75,8.687617,3.694702,3.130443
58,8.32823,4.626825,5.339134
374,8.410115,4.243175,5.078842
1052,9.682103,4.461922,4.250888
12,8.576168,5.584338,4.99561
100,8.654753,5.46017,5.397768
197,8.639112,5.643038,4.390521
591,9.104741,5.583549,4.436101
872,9.863972,5.624623,3.916633
612,9.527116,3.927063,5.164852
7,10.07427,3.587533,5.615646
867,10.39062,4.15619,4.287093
398,9.911921,4.446602,6.585779
280,10.65826,4.881361,4.378857
880,10.41706,5.471563,4.1476
599626927,5.413179,2.785829,2.364964
898,10.56721,5.253172,4.400532
931,8.987613,5.028361,6.352951
1093,10.11827,4.983515,5.769138
318,10.85436,5.413014,4.92197
534,10.08009,4.148685,4.878436
574,9.367838,5.129009,6.157154
621,10.17834,4.099337,5.31645
549009215,5.221931,2.30155,2.894922
549009219,5.133183,2.248146,2.809203
549009223,5.117683,2.045159,3.180048
549009227,5.244232,1.958674,2.753989
679,9.610394,5.48079,5.215806
147,10.70866,4.736888,4.273534
162,10.31172,5.116353,3.978597
604,10.53603,5.437119,4.724337
146,9.478376,4.703789,5.509687
238,10.23002,5.614207,5.029374
350,10.62521,4.718963,4.709837
358,10.63486,4.951876,4.728772
207,12.66548,5.575013,5.029173
96,11.20125,3.372546,5.070784
101,10.67117,2.995211,5.678361
711,12.71308,4.857461,5.209281
1039,12.92918,5.419749,5.154422
903,12.45769,4.347218,4.846091
642,9.94862,5.044304,6.749056
651,12.14644,4.891602,5.27546
429,12.77128,4.085092,5.966347
437,12.10444,3.823195,5.880618
445,11.12466,3.83555,5.923742
589508451,6.469815,2.039958,2.681615
653,10.77271,5.278701,5.212761
661,10.85766,4.324879,6.78372
135,11.92879,4.325704,6.608929
839,12.47904,5.337926,5.447395
1048,11.34135,5.244222,6.122954
372,11.45225,4.322897,3.907348
83,12.03444,5.187078,7.007584
136,11.73935,4.731398,6.129964
106,11.2229,4.243165,5.502863
203,11.89464,4.487941,6.340757
235,12.31439,4.366068,6.957293
307,11.2183,5.318205,6.775325
395,12.73778,4.663019,6.205663
852,11.38385,4.310089,5.968757
859,12.43404,4.805317,5.073688
938,11.475,4.783137,6.185549
177,12.44414,5.36844,5.787028
169,11.52865,5.456744,5.067668
1069,10.86236,4.927646,7.006768
209,11.09076,4.039357,4.881041
202,11.42655,4.59229,4.792867
225,11.75695,4.308058,4.864631
217,11.15425,4.144795,4.367158
765,11.6529,3.943143,5.057579
773,12.54539,5.45719,5.68432
781,11.27285,3.716891,4.488481
206,10.51706,5.658912,6.533058
230,11.5623,5.659937,7.110071
222,12.08249,5.67152,6.583078
912,11.25168,5.44664,4.029078
976,10.82131,5.098214,3.348325
984,11.04286,4.6216,3.006196
1091,11.1277,4.250501,2.682548
936,12.34059,4.92359,2.25799
944,12.75441,5.019,2.762779
951,12.72079,5.118693,3.513957
957,12.52683,4.880267,4.283444
968,11.89154,4.728138,4.244648
1007,11.20001,3.338221,2.705574
1056,11.55985,2.955351,2.892757
1064,12.02129,2.986476,3.125709
1025,12.13449,3.210672,3.895769
1033,11.97645,3.576658,4.138155
1041,11.19845,2.155261,5.34483
1049,10.52444,2.517807,5.237186
989,11.68885,4.668988,3.663701
91,11.47975,3.843919,3.959648
846,11.17291,3.184597,4.264009
589508455,5.766525,2.362004,2.137567
